num_procs,array_size,run,time
1,100000,1,0.010242
1,100000,2,0.009822
1,100000,3,0.009646
1,100000,4,0.010029
1,100000,5,0.010356
2,100000,1,0.005360
2,100000,2,0.003696
2,100000,3,0.004967
2,100000,4,0.004527
2,100000,5,0.004922
4,100000,1,0.002024
4,100000,2,0.002431
4,100000,3,0.002144
4,100000,4,0.003125
4,100000,5,0.001999
8,100000,1,0.001531
8,100000,2,0.001797
8,100000,3,0.001515
8,100000,4,0.001555
8,100000,5,0.001769
16,100000,1,0.002319
16,100000,2,0.002262
16,100000,3,0.002185
16,100000,4,0.002413
16,100000,5,0.001684
1,1000000,1,0.089304
1,1000000,2,0.088607
1,1000000,3,0.088977
1,1000000,4,0.088695
1,1000000,5,0.088868
2,1000000,1,0.044013
2,1000000,2,0.043689
2,1000000,3,0.045002
2,1000000,4,0.044261
2,1000000,5,0.043959
4,1000000,1,0.024423
4,1000000,2,0.023584
4,1000000,3,0.023997
4,1000000,4,0.024381
4,1000000,5,0.023550
8,1000000,1,0.015209
8,1000000,2,0.014468
8,1000000,3,0.014343
8,1000000,4,0.014938
8,1000000,5,0.016430
16,1000000,1,0.015353
16,1000000,2,0.017655
16,1000000,3,0.012849
16,1000000,4,0.012358
16,1000000,5,0.017855
1,10000000,1,1.021747
1,10000000,2,1.016050
1,10000000,3,1.019668
1,10000000,4,1.020153
1,10000000,5,1.017692
2,10000000,1,0.506446
2,10000000,2,0.507041
2,10000000,3,0.506827
2,10000000,4,0.508186
2,10000000,5,0.519945
4,10000000,1,0.283075
4,10000000,2,0.277858
4,10000000,3,0.286889
4,10000000,4,0.286452
4,10000000,5,0.284860
8,10000000,1,0.164311
8,10000000,2,0.161997
8,10000000,3,0.164166
8,10000000,4,0.161938
8,10000000,5,0.161015
16,10000000,1,0.130652
16,10000000,2,0.130304
16,10000000,3,0.132739
16,10000000,4,0.134242
16,10000000,5,0.131644
