num_procs,array_size,k,mean_time,std_dev
1,10000000,100,0.938390,0.001365
2,10000000,100,0.467765,0.001219
4,10000000,100,0.254939,0.001720
8,10000000,100,0.134519,0.002163
16,10000000,100,0.104828,0.022541
1,10000000,1000,0.926298,0.002637
2,10000000,1000,0.462609,0.005697
4,10000000,1000,0.243476,0.001485
8,10000000,1000,0.132348,0.000349
16,10000000,1000,0.094183,0.001550
1,10000000,10000,0.916007,0.000537
2,10000000,10000,0.456478,0.000400
4,10000000,10000,0.244962,0.003599
8,10000000,10000,0.135658,0.001058
16,10000000,10000,0.102613,0.001049
